event,dur_ms,cache_hit,candidates,dim,faces,index_available,limit,media,query_cache_hit,query_faces,ran,raw_len,results,session,size,translated_len,used_hnsw,vectors
clip_encode,362.0,,,,,,,content://media/external/images/media/1000009801,,,,,,embed-full-1772435836100,,,,
dino_encode,142.0,,,,,,,content://media/external/images/media/1000009801,,,,,,embed-full-1772435836100,,,,
face_encode,104.0,,,,1,,,content://media/external/images/media/1000009801,,,,,,embed-full-1772435836100,,,,
clip_encode,368.0,,,,,,,content://media/external/images/media/1000009800,,,,,,embed-full-1772435836100,,,,
dino_encode,138.0,,,,,,,content://media/external/images/media/1000009800,,,,,,embed-full-1772435836100,,,,
face_encode,49.0,,,,0,,,content://media/external/images/media/1000009800,,,,,,embed-full-1772435836100,,,,
clip_encode,331.0,,,,,,,content://media/external/images/media/1000009799,,,,,,embed-full-1772435836100,,,,
dino_encode,136.0,,,,,,,content://media/external/images/media/1000009799,,,,,,embed-full-1772435836100,,,,
face_encode,86.0,,,,1,,,content://media/external/images/media/1000009799,,,,,,embed-full-1772435836100,,,,
clip_encode,345.0,,,,,,,content://media/external/images/media/1000009798,,,,,,embed-full-1772435836100,,,,
dino_encode,141.0,,,,,,,content://media/external/images/media/1000009798,,,,,,embed-full-1772435836100,,,,
face_encode,99.0,,,,1,,,content://media/external/images/media/1000009798,,,,,,embed-full-1772435836100,,,,
clip_encode,395.0,,,,,,,content://media/external/images/media/1000009797,,,,,,embed-full-1772435836100,,,,
dino_encode,168.0,,,,,,,content://media/external/images/media/1000009797,,,,,,embed-full-1772435836100,,,,
face_encode,172.0,,,,3,,,content://media/external/images/media/1000009797,,,,,,embed-full-1772435836100,,,,
clip_encode,383.0,,,,,,,content://media/external/images/media/1000009796,,,,,,embed-full-1772435836100,,,,
dino_encode,161.0,,,,,,,content://media/external/images/media/1000009796,,,,,,embed-full-1772435836100,,,,
face_encode,145.0,,,,1,,,content://media/external/images/media/1000009796,,,,,,embed-full-1772435836100,,,,
clip_encode,389.0,,,,,,,content://media/external/images/media/1000009795,,,,,,embed-full-1772435836100,,,,
dino_encode,165.0,,,,,,,content://media/external/images/media/1000009795,,,,,,embed-full-1772435836100,,,,
face_encode,112.0,,,,1,,,content://media/external/images/media/1000009795,,,,,,embed-full-1772435836100,,,,
clip_encode,398.0,,,,,,,content://media/external/images/media/1000009794,,,,,,embed-full-1772435836100,,,,
dino_encode,181.0,,,,,,,content://media/external/images/media/1000009794,,,,,,embed-full-1772435836100,,,,
face_encode,126.0,,,,1,,,content://media/external/images/media/1000009794,,,,,,embed-full-1772435836100,,,,
clip_encode,400.0,,,,,,,content://media/external/images/media/1000009793,,,,,,embed-full-1772435836100,,,,
dino_encode,186.0,,,,,,,content://media/external/images/media/1000009793,,,,,,embed-full-1772435836100,,,,
face_encode,120.0,,,,1,,,content://media/external/images/media/1000009793,,,,,,embed-full-1772435836100,,,,
clip_encode,396.0,,,,,,,content://media/external/images/media/1000009792,,,,,,embed-full-1772435836100,,,,
dino_encode,148.0,,,,,,,content://media/external/images/media/1000009792,,,,,,embed-full-1772435836100,,,,
face_encode,49.0,,,,0,,,content://media/external/images/media/1000009792,,,,,,embed-full-1772435836100,,,,
clip_encode,348.0,,,,,,,content://media/external/images/media/1000009791,,,,,,embed-full-1772435836100,,,,
dino_encode,144.0,,,,,,,content://media/external/images/media/1000009791,,,,,,embed-full-1772435836100,,,,
face_encode,100.0,,,,1,,,content://media/external/images/media/1000009791,,,,,,embed-full-1772435836100,,,,
clip_encode,370.0,,,,,,,content://media/external/images/media/1000009790,,,,,,embed-full-1772435836100,,,,
dino_encode,155.0,,,,,,,content://media/external/images/media/1000009790,,,,,,embed-full-1772435836100,,,,
face_encode,70.0,,,,0,,,content://media/external/images/media/1000009790,,,,,,embed-full-1772435836100,,,,
clip_encode,360.0,,,,,,,content://media/external/images/media/1000009789,,,,,,embed-full-1772435836100,,,,
dino_encode,158.0,,,,,,,content://media/external/images/media/1000009789,,,,,,embed-full-1772435836100,,,,
face_encode,84.0,,,,0,,,content://media/external/images/media/1000009789,,,,,,embed-full-1772435836100,,,,
clip_encode,351.0,,,,,,,content://media/external/images/media/1000009788,,,,,,embed-full-1772435836100,,,,
dino_encode,147.0,,,,,,,content://media/external/images/media/1000009788,,,,,,embed-full-1772435836100,,,,
face_encode,103.0,,,,1,,,content://media/external/images/media/1000009788,,,,,,embed-full-1772435836100,,,,
clip_encode,410.0,,,,,,,content://media/external/images/media/1000009787,,,,,,embed-full-1772435836100,,,,
dino_encode,173.0,,,,,,,content://media/external/images/media/1000009787,,,,,,embed-full-1772435836100,,,,
face_encode,141.0,,,,1,,,content://media/external/images/media/1000009787,,,,,,embed-full-1772435836100,,,,
clip_encode,401.0,,,,,,,content://media/external/images/media/1000009786,,,,,,embed-full-1772435836100,,,,
dino_encode,149.0,,,,,,,content://media/external/images/media/1000009786,,,,,,embed-full-1772435836100,,,,
face_encode,115.0,,,,1,,,content://media/external/images/media/1000009786,,,,,,embed-full-1772435836100,,,,
clip_encode,390.0,,,,,,,content://media/external/images/media/1000009785,,,,,,embed-full-1772435836100,,,,
dino_encode,156.0,,,,,,,content://media/external/images/media/1000009785,,,,,,embed-full-1772435836100,,,,
face_encode,96.0,,,,1,,,content://media/external/images/media/1000009785,,,,,,embed-full-1772435836100,,,,
clip_encode,406.0,,,,,,,content://media/external/images/media/1000009784,,,,,,embed-full-1772435836100,,,,
dino_encode,158.0,,,,,,,content://media/external/images/media/1000009784,,,,,,embed-full-1772435836100,,,,
face_encode,143.0,,,,2,,,content://media/external/images/media/1000009784,,,,,,embed-full-1772435836100,,,,
clip_encode,397.0,,,,,,,content://media/external/images/media/1000009783,,,,,,embed-full-1772435836100,,,,
dino_encode,157.0,,,,,,,content://media/external/images/media/1000009783,,,,,,embed-full-1772435836100,,,,
face_encode,195.0,,,,4,,,content://media/external/images/media/1000009783,,,,,,embed-full-1772435836100,,,,
clip_encode,370.0,,,,,,,content://media/external/images/media/1000009782,,,,,,embed-full-1772435836100,,,,
dino_encode,150.0,,,,,,,content://media/external/images/media/1000009782,,,,,,embed-full-1772435836100,,,,
face_encode,109.0,,,,1,,,content://media/external/images/media/1000009782,,,,,,embed-full-1772435836100,,,,
clip_encode,362.0,,,,,,,content://media/external/images/media/1000009781,,,,,,embed-full-1772435836100,,,,
dino_encode,145.0,,,,,,,content://media/external/images/media/1000009781,,,,,,embed-full-1772435836100,,,,
face_encode,67.0,,,,1,,,content://media/external/images/media/1000009781,,,,,,embed-full-1772435836100,,,,
clip_encode,409.0,,,,,,,content://media/external/images/media/1000009780,,,,,,embed-full-1772435836100,,,,
dino_encode,171.0,,,,,,,content://media/external/images/media/1000009780,,,,,,embed-full-1772435836100,,,,
face_encode,111.0,,,,1,,,content://media/external/images/media/1000009780,,,,,,embed-full-1772435836100,,,,
clip_encode,387.0,,,,,,,content://media/external/images/media/1000009779,,,,,,embed-full-1772435836100,,,,
dino_encode,208.0,,,,,,,content://media/external/images/media/1000009779,,,,,,embed-full-1772435836100,,,,
face_encode,114.0,,,,1,,,content://media/external/images/media/1000009779,,,,,,embed-full-1772435836100,,,,
clip_encode,381.0,,,,,,,content://media/external/images/media/1000009778,,,,,,embed-full-1772435836100,,,,
dino_encode,155.0,,,,,,,content://media/external/images/media/1000009778,,,,,,embed-full-1772435836100,,,,
face_encode,92.0,,,,0,,,content://media/external/images/media/1000009778,,,,,,embed-full-1772435836100,,,,
clip_encode,384.0,,,,,,,content://media/external/images/media/1000009777,,,,,,embed-full-1772435836100,,,,
dino_encode,177.0,,,,,,,content://media/external/images/media/1000009777,,,,,,embed-full-1772435836100,,,,
face_encode,138.0,,,,1,,,content://media/external/images/media/1000009777,,,,,,embed-full-1772435836100,,,,
clip_encode,431.0,,,,,,,content://media/external/images/media/1000009776,,,,,,embed-full-1772435836100,,,,
dino_encode,164.0,,,,,,,content://media/external/images/media/1000009776,,,,,,embed-full-1772435836100,,,,
face_encode,69.0,,,,0,,,content://media/external/images/media/1000009776,,,,,,embed-full-1772435836100,,,,
clip_encode,366.0,,,,,,,content://media/external/images/media/1000009775,,,,,,embed-full-1772435836100,,,,
dino_encode,156.0,,,,,,,content://media/external/images/media/1000009775,,,,,,embed-full-1772435836100,,,,
face_encode,60.0,,,,0,,,content://media/external/images/media/1000009775,,,,,,embed-full-1772435836100,,,,
clip_encode,370.0,,,,,,,content://media/external/images/media/1000009774,,,,,,embed-full-1772435836100,,,,
dino_encode,157.0,,,,,,,content://media/external/images/media/1000009774,,,,,,embed-full-1772435836100,,,,
face_encode,54.0,,,,0,,,content://media/external/images/media/1000009774,,,,,,embed-full-1772435836100,,,,
clip_encode,381.0,,,,,,,content://media/external/images/media/1000009773,,,,,,embed-full-1772435836100,,,,
dino_encode,170.0,,,,,,,content://media/external/images/media/1000009773,,,,,,embed-full-1772435836100,,,,
face_encode,115.0,,,,1,,,content://media/external/images/media/1000009773,,,,,,embed-full-1772435836100,,,,
clip_encode,376.0,,,,,,,content://media/external/images/media/1000009772,,,,,,embed-full-1772435836100,,,,
dino_encode,164.0,,,,,,,content://media/external/images/media/1000009772,,,,,,embed-full-1772435836100,,,,
face_encode,167.0,,,,3,,,content://media/external/images/media/1000009772,,,,,,embed-full-1772435836100,,,,
clip_encode,446.0,,,,,,,content://media/external/images/media/1000009771,,,,,,embed-full-1772435836100,,,,
dino_encode,202.0,,,,,,,content://media/external/images/media/1000009771,,,,,,embed-full-1772435836100,,,,
face_encode,51.0,,,,0,,,content://media/external/images/media/1000009771,,,,,,embed-full-1772435836100,,,,
clip_encode,359.0,,,,,,,content://media/external/images/media/1000009770,,,,,,embed-full-1772435836100,,,,
dino_encode,148.0,,,,,,,content://media/external/images/media/1000009770,,,,,,embed-full-1772435836100,,,,
face_encode,95.0,,,,1,,,content://media/external/images/media/1000009770,,,,,,embed-full-1772435836100,,,,
clip_encode,475.0,,,,,,,content://media/external/images/media/1000009769,,,,,,embed-full-1772435836100,,,,
dino_encode,158.0,,,,,,,content://media/external/images/media/1000009769,,,,,,embed-full-1772435836100,,,,
face_encode,32.0,,,,0,,,content://media/external/images/media/1000009769,,,,,,embed-full-1772435836100,,,,
clip_encode,364.0,,,,,,,content://media/external/images/media/1000009768,,,,,,embed-full-1772435836100,,,,
dino_encode,151.0,,,,,,,content://media/external/images/media/1000009768,,,,,,embed-full-1772435836100,,,,
face_encode,23.0,,,,0,,,content://media/external/images/media/1000009768,,,,,,embed-full-1772435836100,,,,
clip_encode,681.0,,,,,,,content://media/external/images/media/1000009765,,,,,,embed-full-1772435836100,,,,
dino_encode,415.0,,,,,,,content://media/external/images/media/1000009765,,,,,,embed-full-1772435836100,,,,
face_encode,51.0,,,,0,,,content://media/external/images/media/1000009765,,,,,,embed-full-1772435836100,,,,
clip_encode,371.0,,,,,,,content://media/external/images/media/1000009767,,,,,,embed-full-1772435836100,,,,
dino_encode,166.0,,,,,,,content://media/external/images/media/1000009767,,,,,,embed-full-1772435836100,,,,
face_encode,80.0,,,,0,,,content://media/external/images/media/1000009767,,,,,,embed-full-1772435836100,,,,
clip_encode,400.0,,,,,,,content://media/external/images/media/1000009766,,,,,,embed-full-1772435836100,,,,
dino_encode,163.0,,,,,,,content://media/external/images/media/1000009766,,,,,,embed-full-1772435836100,,,,
face_encode,142.0,,,,1,,,content://media/external/images/media/1000009766,,,,,,embed-full-1772435836100,,,,
clip_encode,386.0,,,,,,,content://media/external/images/media/1000009764,,,,,,embed-full-1772435836100,,,,
dino_encode,174.0,,,,,,,content://media/external/images/media/1000009764,,,,,,embed-full-1772435836100,,,,
face_encode,130.0,,,,1,,,content://media/external/images/media/1000009764,,,,,,embed-full-1772435836100,,,,
clip_encode,412.0,,,,,,,content://media/external/images/media/1000009763,,,,,,embed-full-1772435836100,,,,
dino_encode,179.0,,,,,,,content://media/external/images/media/1000009763,,,,,,embed-full-1772435836100,,,,
face_encode,50.0,,,,0,,,content://media/external/images/media/1000009763,,,,,,embed-full-1772435836100,,,,
clip_encode,363.0,,,,,,,content://media/external/images/media/1000009762,,,,,,embed-full-1772435836100,,,,
dino_encode,153.0,,,,,,,content://media/external/images/media/1000009762,,,,,,embed-full-1772435836100,,,,
face_encode,66.0,,,,0,,,content://media/external/images/media/1000009762,,,,,,embed-full-1772435836100,,,,
clip_encode,376.0,,,,,,,content://media/external/images/media/1000009761,,,,,,embed-full-1772435836100,,,,
dino_encode,167.0,,,,,,,content://media/external/images/media/1000009761,,,,,,embed-full-1772435836100,,,,
face_encode,88.0,,,,0,,,content://media/external/images/media/1000009761,,,,,,embed-full-1772435836100,,,,
clip_encode,382.0,,,,,,,content://media/external/images/media/1000009760,,,,,,embed-full-1772435836100,,,,
dino_encode,169.0,,,,,,,content://media/external/images/media/1000009760,,,,,,embed-full-1772435836100,,,,
face_encode,94.0,,,,0,,,content://media/external/images/media/1000009760,,,,,,embed-full-1772435836100,,,,
clip_encode,379.0,,,,,,,content://media/external/images/media/1000009759,,,,,,embed-full-1772435836100,,,,
dino_encode,163.0,,,,,,,content://media/external/images/media/1000009759,,,,,,embed-full-1772435836100,,,,
face_encode,116.0,,,,1,,,content://media/external/images/media/1000009759,,,,,,embed-full-1772435836100,,,,
clip_encode,419.0,,,,,,,content://media/external/images/media/1000009758,,,,,,embed-full-1772435836100,,,,
dino_encode,154.0,,,,,,,content://media/external/images/media/1000009758,,,,,,embed-full-1772435836100,,,,
face_encode,56.0,,,,0,,,content://media/external/images/media/1000009758,,,,,,embed-full-1772435836100,,,,
clip_encode,387.0,,,,,,,content://media/external/images/media/1000009757,,,,,,embed-full-1772435836100,,,,
dino_encode,177.0,,,,,,,content://media/external/images/media/1000009757,,,,,,embed-full-1772435836100,,,,
face_encode,158.0,,,,1,,,content://media/external/images/media/1000009757,,,,,,embed-full-1772435836100,,,,
clip_encode,383.0,,,,,,,content://media/external/images/media/1000009756,,,,,,embed-full-1772435836100,,,,
dino_encode,169.0,,,,,,,content://media/external/images/media/1000009756,,,,,,embed-full-1772435836100,,,,
face_encode,90.0,,,,0,,,content://media/external/images/media/1000009756,,,,,,embed-full-1772435836100,,,,
clip_encode,381.0,,,,,,,content://media/external/images/media/1000009755,,,,,,embed-full-1772435836100,,,,
dino_encode,169.0,,,,,,,content://media/external/images/media/1000009755,,,,,,embed-full-1772435836100,,,,
face_encode,147.0,,,,1,,,content://media/external/images/media/1000009755,,,,,,embed-full-1772435836100,,,,
clip_encode,387.0,,,,,,,content://media/external/images/media/1000009754,,,,,,embed-full-1772435836100,,,,
dino_encode,167.0,,,,,,,content://media/external/images/media/1000009754,,,,,,embed-full-1772435836100,,,,
face_encode,129.0,,,,1,,,content://media/external/images/media/1000009754,,,,,,embed-full-1772435836100,,,,
clip_encode,428.0,,,,,,,content://media/external/images/media/1000009753,,,,,,embed-full-1772435836100,,,,
dino_encode,155.0,,,,,,,content://media/external/images/media/1000009753,,,,,,embed-full-1772435836100,,,,
face_encode,25.0,,,,0,,,content://media/external/images/media/1000009753,,,,,,embed-full-1772435836100,,,,
clip_encode,418.0,,,,,,,content://media/external/images/media/1000009752,,,,,,embed-full-1772435836100,,,,
dino_encode,210.0,,,,,,,content://media/external/images/media/1000009752,,,,,,embed-full-1772435836100,,,,
face_encode,14.0,,,,0,,,content://media/external/images/media/1000009752,,,,,,embed-full-1772435836100,,,,
clip_encode,377.0,,,,,,,content://media/external/images/media/1000009751,,,,,,embed-full-1772435836100,,,,
dino_encode,152.0,,,,,,,content://media/external/images/media/1000009751,,,,,,embed-full-1772435836100,,,,
face_encode,88.0,,,,1,,,content://media/external/images/media/1000009751,,,,,,embed-full-1772435836100,,,,
clip_encode,408.0,,,,,,,content://media/external/images/media/1000009750,,,,,,embed-full-1772435836100,,,,
dino_encode,152.0,,,,,,,content://media/external/images/media/1000009750,,,,,,embed-full-1772435836100,,,,
face_encode,40.0,,,,0,,,content://media/external/images/media/1000009750,,,,,,embed-full-1772435836100,,,,
clip_encode,398.0,,,,,,,content://media/external/images/media/1000009749,,,,,,embed-full-1772435836100,,,,
dino_encode,180.0,,,,,,,content://media/external/images/media/1000009749,,,,,,embed-full-1772435836100,,,,
face_encode,123.0,,,,1,,,content://media/external/images/media/1000009749,,,,,,embed-full-1772435836100,,,,
clip_encode,375.0,,,,,,,content://media/external/images/media/1000009748,,,,,,embed-full-1772435836100,,,,
dino_encode,155.0,,,,,,,content://media/external/images/media/1000009748,,,,,,embed-full-1772435836100,,,,
face_encode,21.0,,,,0,,,content://media/external/images/media/1000009748,,,,,,embed-full-1772435836100,,,,
clip_encode,384.0,,,,,,,content://media/external/images/media/1000009747,,,,,,embed-full-1772435836100,,,,
dino_encode,163.0,,,,,,,content://media/external/images/media/1000009747,,,,,,embed-full-1772435836100,,,,
face_encode,75.0,,,,0,,,content://media/external/images/media/1000009747,,,,,,embed-full-1772435836100,,,,
clip_encode,427.0,,,,,,,content://media/external/images/media/1000009746,,,,,,embed-full-1772435836100,,,,
dino_encode,157.0,,,,,,,content://media/external/images/media/1000009746,,,,,,embed-full-1772435836100,,,,
face_encode,27.0,,,,0,,,content://media/external/images/media/1000009746,,,,,,embed-full-1772435836100,,,,
clip_encode,372.0,,,,,,,content://media/external/images/media/1000009745,,,,,,embed-full-1772435836100,,,,
dino_encode,158.0,,,,,,,content://media/external/images/media/1000009745,,,,,,embed-full-1772435836100,,,,
face_encode,30.0,,,,0,,,content://media/external/images/media/1000009745,,,,,,embed-full-1772435836100,,,,
clip_encode,398.0,,,,,,,content://media/external/images/media/1000009744,,,,,,embed-full-1772435836100,,,,
dino_encode,155.0,,,,,,,content://media/external/images/media/1000009744,,,,,,embed-full-1772435836100,,,,
face_encode,35.0,,,,0,,,content://media/external/images/media/1000009744,,,,,,embed-full-1772435836100,,,,
clip_encode,372.0,,,,,,,content://media/external/images/media/1000009743,,,,,,embed-full-1772435836100,,,,
dino_encode,148.0,,,,,,,content://media/external/images/media/1000009743,,,,,,embed-full-1772435836100,,,,
face_encode,38.0,,,,0,,,content://media/external/images/media/1000009743,,,,,,embed-full-1772435836100,,,,
clip_encode,406.0,,,,,,,content://media/external/images/media/1000009742,,,,,,embed-full-1772435836100,,,,
dino_encode,156.0,,,,,,,content://media/external/images/media/1000009742,,,,,,embed-full-1772435836100,,,,
face_encode,88.0,,,,0,,,content://media/external/images/media/1000009742,,,,,,embed-full-1772435836100,,,,
clip_encode,578.0,,,,,,,content://media/external/images/media/1000009741,,,,,,embed-full-1772435836100,,,,
dino_encode,306.0,,,,,,,content://media/external/images/media/1000009741,,,,,,embed-full-1772435836100,,,,
face_encode,65.0,,,,0,,,content://media/external/images/media/1000009741,,,,,,embed-full-1772435836100,,,,
clip_encode,1045.0,,,,,,,content://media/external/images/media/1000009740,,,,,,embed-full-1772435836100,,,,
dino_encode,783.0,,,,,,,content://media/external/images/media/1000009740,,,,,,embed-full-1772435836100,,,,
face_encode,66.0,,,,0,,,content://media/external/images/media/1000009740,,,,,,embed-full-1772435836100,,,,
clip_encode,370.0,,,,,,,content://media/external/images/media/1000009739,,,,,,embed-full-1772435836100,,,,
dino_encode,172.0,,,,,,,content://media/external/images/media/1000009739,,,,,,embed-full-1772435836100,,,,
face_encode,91.0,,,,0,,,content://media/external/images/media/1000009739,,,,,,embed-full-1772435836100,,,,
clip_encode,375.0,,,,,,,content://media/external/images/media/1000009738,,,,,,embed-full-1772435836100,,,,
dino_encode,165.0,,,,,,,content://media/external/images/media/1000009738,,,,,,embed-full-1772435836100,,,,
face_encode,74.0,,,,0,,,content://media/external/images/media/1000009738,,,,,,embed-full-1772435836100,,,,
clip_encode,418.0,,,,,,,content://media/external/images/media/1000009737,,,,,,embed-full-1772435836100,,,,
dino_encode,179.0,,,,,,,content://media/external/images/media/1000009737,,,,,,embed-full-1772435836100,,,,
face_encode,137.0,,,,1,,,content://media/external/images/media/1000009737,,,,,,embed-full-1772435836100,,,,
clip_encode,398.0,,,,,,,content://media/external/images/media/1000009736,,,,,,embed-full-1772435836100,,,,
dino_encode,172.0,,,,,,,content://media/external/images/media/1000009736,,,,,,embed-full-1772435836100,,,,
face_encode,58.0,,,,0,,,content://media/external/images/media/1000009736,,,,,,embed-full-1772435836100,,,,
clip_encode,944.0,,,,,,,content://media/external/images/media/1000009734,,,,,,embed-full-1772435836100,,,,
dino_encode,732.0,,,,,,,content://media/external/images/media/1000009734,,,,,,embed-full-1772435836100,,,,
face_encode,115.0,,,,1,,,content://media/external/images/media/1000009734,,,,,,embed-full-1772435836100,,,,
clip_encode,351.0,,,,,,,content://media/external/images/media/1000009735,,,,,,embed-full-1772435836100,,,,
dino_encode,148.0,,,,,,,content://media/external/images/media/1000009735,,,,,,embed-full-1772435836100,,,,
face_encode,49.0,,,,0,,,content://media/external/images/media/1000009735,,,,,,embed-full-1772435836100,,,,
clip_encode,870.0,,,,,,,content://media/external/images/media/1000009733,,,,,,embed-full-1772435836100,,,,
dino_encode,559.0,,,,,,,content://media/external/images/media/1000009733,,,,,,embed-full-1772435836100,,,,
face_encode,29.0,,,,0,,,content://media/external/images/media/1000009733,,,,,,embed-full-1772435836100,,,,
clip_encode,371.0,,,,,,,content://media/external/images/media/1000009732,,,,,,embed-full-1772435836100,,,,
dino_encode,162.0,,,,,,,content://media/external/images/media/1000009732,,,,,,embed-full-1772435836100,,,,
face_encode,63.0,,,,0,,,content://media/external/images/media/1000009732,,,,,,embed-full-1772435836100,,,,
clip_encode,361.0,,,,,,,content://media/external/images/media/1000009731,,,,,,embed-full-1772435836100,,,,
dino_encode,151.0,,,,,,,content://media/external/images/media/1000009731,,,,,,embed-full-1772435836100,,,,
face_encode,100.0,,,,0,,,content://media/external/images/media/1000009731,,,,,,embed-full-1772435836100,,,,
clip_encode,453.0,,,,,,,content://media/external/images/media/1000009730,,,,,,embed-full-1772435836100,,,,
dino_encode,232.0,,,,,,,content://media/external/images/media/1000009730,,,,,,embed-full-1772435836100,,,,
face_encode,131.0,,,,1,,,content://media/external/images/media/1000009730,,,,,,embed-full-1772435836100,,,,
clip_encode,398.0,,,,,,,content://media/external/images/media/1000009729,,,,,,embed-full-1772435836100,,,,
dino_encode,160.0,,,,,,,content://media/external/images/media/1000009729,,,,,,embed-full-1772435836100,,,,
face_encode,103.0,,,,1,,,content://media/external/images/media/1000009729,,,,,,embed-full-1772435836100,,,,
clip_encode,421.0,,,,,,,content://media/external/images/media/1000009728,,,,,,embed-full-1772435836100,,,,
dino_encode,162.0,,,,,,,content://media/external/images/media/1000009728,,,,,,embed-full-1772435836100,,,,
face_encode,68.0,,,,0,,,content://media/external/images/media/1000009728,,,,,,embed-full-1772435836100,,,,
clip_encode,382.0,,,,,,,content://media/external/images/media/1000009727,,,,,,embed-full-1772435836100,,,,
dino_encode,169.0,,,,,,,content://media/external/images/media/1000009727,,,,,,embed-full-1772435836100,,,,
face_encode,79.0,,,,0,,,content://media/external/images/media/1000009727,,,,,,embed-full-1772435836100,,,,
clip_encode,454.0,,,,,,,content://media/external/images/media/1000009726,,,,,,embed-full-1772435836100,,,,
dino_encode,263.0,,,,,,,content://media/external/images/media/1000009726,,,,,,embed-full-1772435836100,,,,
face_encode,148.0,,,,1,,,content://media/external/images/media/1000009726,,,,,,embed-full-1772435836100,,,,
clip_encode,380.0,,,,,,,content://media/external/images/media/1000009725,,,,,,embed-full-1772435836100,,,,
dino_encode,177.0,,,,,,,content://media/external/images/media/1000009725,,,,,,embed-full-1772435836100,,,,
face_encode,137.0,,,,2,,,content://media/external/images/media/1000009725,,,,,,embed-full-1772435836100,,,,
clip_encode,372.0,,,,,,,content://media/external/images/media/1000009724,,,,,,embed-full-1772435836100,,,,
dino_encode,149.0,,,,,,,content://media/external/images/media/1000009724,,,,,,embed-full-1772435836100,,,,
face_encode,5.0,,,,0,,,content://media/external/images/media/1000009724,,,,,,embed-full-1772435836100,,,,
clip_encode,391.0,,,,,,,content://media/external/images/media/1000009723,,,,,,embed-full-1772435836100,,,,
dino_encode,171.0,,,,,,,content://media/external/images/media/1000009723,,,,,,embed-full-1772435836100,,,,
face_encode,281.0,,,,6,,,content://media/external/images/media/1000009723,,,,,,embed-full-1772435836100,,,,
clip_encode,435.0,,,,,,,content://media/external/images/media/1000009722,,,,,,embed-full-1772435836100,,,,
dino_encode,167.0,,,,,,,content://media/external/images/media/1000009722,,,,,,embed-full-1772435836100,,,,
face_encode,156.0,,,,2,,,content://media/external/images/media/1000009722,,,,,,embed-full-1772435836100,,,,
clip_encode,369.0,,,,,,,content://media/external/images/media/1000009721,,,,,,embed-full-1772435836100,,,,
dino_encode,151.0,,,,,,,content://media/external/images/media/1000009721,,,,,,embed-full-1772435836100,,,,
face_encode,7.0,,,,0,,,content://media/external/images/media/1000009721,,,,,,embed-full-1772435836100,,,,
clip_encode,425.0,,,,,,,content://media/external/images/media/1000009720,,,,,,embed-full-1772435836100,,,,
dino_encode,178.0,,,,,,,content://media/external/images/media/1000009720,,,,,,embed-full-1772435836100,,,,
face_encode,69.0,,,,0,,,content://media/external/images/media/1000009720,,,,,,embed-full-1772435836100,,,,
clip_encode,370.0,,,,,,,content://media/external/images/media/1000009719,,,,,,embed-full-1772435836100,,,,
dino_encode,151.0,,,,,,,content://media/external/images/media/1000009719,,,,,,embed-full-1772435836100,,,,
face_encode,170.0,,,,3,,,content://media/external/images/media/1000009719,,,,,,embed-full-1772435836100,,,,
clip_encode,465.0,,,,,,,content://media/external/images/media/1000009718,,,,,,embed-full-1772435836100,,,,
